recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 4.477612, precision: 0.761905, f_1 measure: 1.302225
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 0.990099, precision: 0.196335, f_1 measure: 0.327690
recall: 26.588235, precision: 6.588921, f_1 measure: 10.560748
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 100.000000, precision: 60.994475, f_1 measure: 75.772135
recall: 98.828697, precision: 57.446809, f_1 measure: 72.658773
recall: 74.398625, precision: 69.838710, f_1 measure: 72.046589
recall: 72.254335, precision: 75.528701, f_1 measure: 73.855244
recall: 73.624917, precision: 67.496962, f_1 measure: 70.427892
recall: 94.865526, precision: 90.232558, f_1 measure: 92.491061
recall: 86.349206, precision: 40.902256, f_1 measure: 55.510204
recall: 86.718750, precision: 25.170068, f_1 measure: 39.015817
recall: 59.798995, precision: 15.454545, f_1 measure: 24.561404
recall: 70.612245, precision: 17.653061, f_1 measure: 28.244898
recall: 53.586498, precision: 14.334086, f_1 measure: 22.617988
recall: 80.926431, precision: 42.428571, f_1 measure: 55.670103
recall: 35.353535, precision: 13.793103, f_1 measure: 19.844082
recall: 48.449612, precision: 14.518002, f_1 measure: 22.341376
recall: 65.306122, precision: 18.285714, f_1 measure: 28.571429
recall: 100.000000, precision: 51.549587, f_1 measure: 68.029993
recall: 99.613402, precision: 59.691120, f_1 measure: 74.649928
recall: 99.347826, precision: 78.522337, f_1 measure: 87.715931
recall: 69.105691, precision: 60.714286, f_1 measure: 64.638783
recall: 81.564748, precision: 63.205575, f_1 measure: 71.221044
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 40.123457, precision: 5.462185, f_1 measure: 9.615385
recall: 76.767677, precision: 5.859676, f_1 measure: 10.888252
recall: 100.000000, precision: 15.091575, f_1 measure: 26.225334
recall: 100.000000, precision: 22.973761, f_1 measure: 37.363679
recall: 83.333333, precision: 50.000000, f_1 measure: 62.500000
recall: 76.538462, precision: 58.187135, f_1 measure: 66.112957
recall: 84.000000, precision: 54.545455, f_1 measure: 66.141732
recall: 91.975309, precision: 72.682927, f_1 measure: 81.198910
recall: 42.138365, precision: 7.089947, f_1 measure: 12.137681
recall: 100.000000, precision: 47.755102, f_1 measure: 64.640884
recall: 98.412698, precision: 51.394122, f_1 measure: 67.524752
recall: 98.279570, precision: 64.822695, f_1 measure: 78.119658
recall: 88.875306, precision: 61.092437, f_1 measure: 72.410359
recall: 75.116434, precision: 64.514286, f_1 measure: 69.412850
recall: 79.799666, precision: 91.047619, f_1 measure: 85.053381
recall: 36.178862, precision: 8.768473, f_1 measure: 14.115781
recall: 100.000000, precision: 33.021807, f_1 measure: 49.648712
recall: 100.000000, precision: 17.374517, f_1 measure: 29.605263
recall: 100.000000, precision: 27.781524, f_1 measure: 43.482850
recall: 100.000000, precision: 10.314342, f_1 measure: 18.699911
recall: 100.000000, precision: 23.726708, f_1 measure: 38.353414
recall: 100.000000, precision: 26.910299, f_1 measure: 42.408377
recall: 86.734694, precision: 61.594203, f_1 measure: 72.033898
recall: 55.357143, precision: 13.191489, f_1 measure: 21.305842
recall: 82.874016, precision: 68.734694, f_1 measure: 75.145025
recall: 86.064925, precision: 70.953003, f_1 measure: 77.781753
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 52.495010, precision: 70.446429, f_1 measure: 60.160122
recall: 66.702298, precision: 71.314286, f_1 measure: 68.931234
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 94.117647, precision: 26.438188, f_1 measure: 41.280459
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 87.090559, precision: 37.983193, f_1 measure: 52.896431
recall: 100.000000, precision: 30.186335, f_1 measure: 46.374046
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 94.863014, precision: 67.233010, f_1 measure: 78.693182
recall: 82.500000, precision: 47.610460, f_1 measure: 60.377358
